Place_Name,Location,Category,Rating,Review_Text,Sentiment,Temperature,Weather,Opening_Hours
Gateway of India,Mumbai,Historical,3.6,Amazing place with rich history!,positive,25°C,Pleasant,6 AM - 6 PM
Gateway of India,Mumbai,Historical,4.7,A must-visit with family!,positive,25°C,Pleasant,6 AM - 6 PM
Gateway of India,Mumbai,Historical,3.3,Had a decent experience overall.,neutral,25°C,Pleasant,6 AM - 6 PM
Gateway of India,Mumbai,Historical,3.8,Spiritual and calming visit.,positive,25°C,Pleasant,6 AM - 6 PM
Gateway of India,Mumbai,Historical,2.0,Had a decent experience overall.,neutral,25°C,Pleasant,6 AM - 6 PM
Gateway of India,Mumbai,Historical,4.7,A must-visit with family!,positive,25°C,Pleasant,6 AM - 6 PM
Gateway of India,Mumbai,Historical,4.3,Spiritual and calming visit.,positive,25°C,Pleasant,6 AM - 6 PM
Gateway of India,Mumbai,Historical,1.1,Had a decent experience overall.,neutral,25°C,Pleasant,6 AM - 6 PM
Gateway of India,Mumbai,Historical,2.8,A must-visit with family!,positive,25°C,Pleasant,6 AM - 6 PM
Gateway of India,Mumbai,Historical,2.5,Food and facilities were disappointing.,negative,25°C,Pleasant,6 AM - 6 PM
Ajanta Caves,Aurangabad,Heritage,1.2,Food and facilities were disappointing.,negative,25°C,Pleasant,6 AM - 6 PM
Ajanta Caves,Aurangabad,Heritage,1.7,"Nothing extraordinary, just average.",neutral,25°C,Pleasant,6 AM - 6 PM
Ajanta Caves,Aurangabad,Heritage,2.8,Spiritual and calming visit.,positive,25°C,Pleasant,6 AM - 6 PM
Ajanta Caves,Aurangabad,Heritage,2.8,Amazing place with rich history!,positive,25°C,Pleasant,6 AM - 6 PM
Ajanta Caves,Aurangabad,Heritage,3.0,"Not worth the hype, poorly maintained.",negative,25°C,Pleasant,6 AM - 6 PM
Ajanta Caves,Aurangabad,Heritage,3.1,"Not worth the hype, poorly maintained.",negative,25°C,Pleasant,6 AM - 6 PM
Ajanta Caves,Aurangabad,Heritage,4.5,Breathtaking view and peaceful atmosphere.,positive,25°C,Pleasant,6 AM - 6 PM
Ajanta Caves,Aurangabad,Heritage,2.7,Very crowded and not clean.,negative,25°C,Pleasant,6 AM - 6 PM
Ajanta Caves,Aurangabad,Heritage,4.0,A must-visit with family!,positive,25°C,Pleasant,6 AM - 6 PM
Ajanta Caves,Aurangabad,Heritage,3.2,Had a decent experience overall.,neutral,25°C,Pleasant,6 AM - 6 PM
Ellora Caves,Aurangabad,Heritage,2.7,Breathtaking view and peaceful atmosphere.,positive,25°C,Pleasant,6 AM - 6 PM
Ellora Caves,Aurangabad,Heritage,3.5,Had a decent experience overall.,neutral,25°C,Pleasant,6 AM - 6 PM
Ellora Caves,Aurangabad,Heritage,5.0,Beautiful architecture and well-preserved.,positive,25°C,Pleasant,6 AM - 6 PM
Ellora Caves,Aurangabad,Heritage,1.1,Had a decent experience overall.,neutral,25°C,Pleasant,6 AM - 6 PM
Ellora Caves,Aurangabad,Heritage,2.9,"Nothing extraordinary, just average.",neutral,25°C,Pleasant,6 AM - 6 PM
Ellora Caves,Aurangabad,Heritage,2.5,Had a decent experience overall.,neutral,25°C,Pleasant,6 AM - 6 PM
Ellora Caves,Aurangabad,Heritage,1.6,Had a decent experience overall.,neutral,25°C,Pleasant,6 AM - 6 PM
Ellora Caves,Aurangabad,Heritage,2.6,"Nothing extraordinary, just average.",neutral,25°C,Pleasant,6 AM - 6 PM
